texto,calificacion,tipo_lugar,fuente,fecha,lugar,polaridad
"Tour fabuloso, bellísimo el bosque nuboso de Monteverde con el circuito de los puentes colgantes. Tras el almuerzo visitamos el ranario de la zona, donde pudimos observar gran variedad de sapos y ranitas con la ayuda del guía del lugar. Nuestro guía y conductor, Arturo, muy amable, atento y simpático. Recomendamos 100% esta actividad.",5.0,parque,civitatis,12/28/2020,Excursión a los puentes colgantes de Monteverde,positiva
"Vale la pena ir a ver los puentes colgantes de monteverde, son muy bonitos.",4.0,parque,civitatis,08/08/2021,Excursión a los puentes colgantes de Monteverde,positiva
"La actividad es muy bonita, sin embargo hay dos cosas a tener en cuenta: el trayecto se hace eterno (4 horas de ida y 4 horas de vuelta), y el Serpentario ya no existe, es un Ranario. Si bien es bellísimo, fácilmente puede verse como publicidad engañosa.",4.0,parque,civitatis,09/15/2022,Excursión a los puentes colgantes de Monteverde,positiva
No fui a este tour sino al del.volcan poas 100% recomendado muy buen guia charly lejos para mi el mejor tour de todos.,5.0,parque,civitatis,10/29/2025,Excursión a los puentes colgantes de Monteverde,positiva
"Muy interesante todo el recorrido, con la visita a la fábrica de carretas de bueyes, la vista impresionante del volcán Arenal, y el posterior relax en las aguas termales. La comida y cena también han estado muy bien. Y el conductor (David) y el guía (Gary) muy profesionales. Solo como observación, quizás 3 horas en las termas de hacen un poco largas",4.0,parque,civitatis,01/13/2024,Excursión al volcán Arenal + Aguas termales,positiva
"Excursión muy completa y con un guia Greivin muy amable y simpatico, el chofer Vladimir tambien, las termas son excelentes parecen un parque tematico solo para poner un pero las horas que uno esta en la furgoneta pero las distancias son largas entre san jose y el Volcan arenal. excursión recomendada,",5.0,parque,civitatis,09/24/2022,Excursión al volcán Arenal + Aguas termales,positiva
"Aunque es una excursión muy larga, unas 15 horas aproximadamente es imprescindible hacerla. El recorrido por pequeños pueblos con Sanchí, o paradas en el camino para ver plantaciones de café, hasta llegar al mirador del volcán te dan una imagen amplia de Costa Rica. Y el punto final en las termas de Tabacón es una visita al paraiso",5.0,parque,civitatis,11/09/2018,Excursión al volcán Arenal + Aguas termales,positiva
"Excursion laga pero completa, nuestro guía Mario muy bien.",5.0,parque,civitatis,05/18/2025,Excursión al volcán Arenal + Aguas termales,positiva
"Buena actividad, merece la pena el largo trayecto. Un pena no poder quedarse más tiempo en la zona del volcán. Las aguas termales son muy agradables, se puede disfrutar de ellas tiempo de sobra. Los guías excepcionales!",4.0,parque,civitatis,08/16/2024,Excursión al volcán Arenal + Aguas termales,positiva
El hotel en San José me pareció muy antiguo. Y faltó un tiempo para recoger la capital y conocerla bien. El tour no da recomendaciones para hacer en el tiempo libre y en Arenal hay que reservar los termales en los sitios buenos y no se consigue sobre el tiempo,3.0,parque,civitatis,12/31/2025,"Circuito de 5, 7 o 9 días por Costa Rica",neutral
"Nos la pasamos genial, Amaral es un exelente anfitrión!! Sabe muchísimas cosas es un gran conocedor de san José , aprendimos, bebimos y nos divertimos!!",5.0,parque,civitatis,01/16/2026,Tour de bares por San José,positiva
"Nuestro guìa, hizo que el tour fuera divertido y de mucho aprendizaje. Definitivamente, vale la pena realizarlo. Ìbamos dos locales, un amigo extranjero. Fue interesante recordar lo que aprendìamos en la escuela. Se los recomiendo, el conocimiento que tiene es impresionante.",5.0,parque,civitatis,02/27/2025,Tour de bares por San José,positiva
"Amaral es un guía fenomenal, desde que iniciamos el tour hasta que lo terminamos fue maravilloso, de verdad que vale totalmente la pena hacerlo, no tengo nada más que agradecer por todo el conocimiento que nos dio y los buenos ratos. Muchas gracias",5.0,parque,civitatis,08/17/2024,Tour de bares por San José,positiva
"Muy divertida la actividad. Conocimos muchos lugares interesantes, probamos tragos muy ricos, además de conocer su historia y datos curiosos de la mano de Amaral. Que por cierto es muy atento y divertido!! Super recomendado",5.0,parque,civitatis,08/08/2024,Tour de bares por San José,positiva
